,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Mar del Plata,88,AR,1545361157,36,-46.43,-67.52,73.82,8.9
1,Tarakan,40,ID,1545357600,83,3.3,117.63,82.4,2.24
2,Barrow,92,AR,1545361222,99,-38.31,-60.23,62.84,4.25
3,Caravelas,0,BR,1545361607,100,-17.73,-39.27,79.85,19.42
4,Pacific Grove,1,US,1545360900,83,36.62,-121.92,53.65,5.82
5,Mandalgovi,0,MN,1545361688,61,45.76,106.27,6.64,8.84
6,Ahipara,76,NZ,1545361608,85,-35.17,173.16,66.49,16.4
7,Arraial do Cabo,0,BR,1545361268,88,-22.97,-42.02,78.37,16.06
8,Ribeira Grande,92,PT,1545361175,100,38.52,-28.7,62.57,10.07
9,Charters Towers,32,AU,1545361608,80,-20.07,146.27,87.14,7.38
10,Luderitz,0,NA,1545361284,90,-26.65,15.16,57.13,11.41
11,Vila Franca do Campo,75,PT,1545359400,93,37.72,-25.43,64.4,17.22
12,Omboue,80,GA,1545361154,100,-1.57,9.26,78.91,2.68
13,Ewa Beach,1,US,1545357420,57,21.32,-158.01,76.23,8.05
14,Mackenzie,90,CA,1545358860,92,55.34,-123.09,24.8,11.41
15,Cape Town,0,ZA,1545357600,88,-33.93,18.42,66.2,12.75
16,Baijiantan,0,CN,1545361609,87,45.63,85.18,2.23,8.57
17,Ushuaia,40,AR,1545357600,61,-54.81,-68.31,50.0,6.93
18,Carnarvon,0,ZA,1545361283,44,-30.97,22.13,54.2,3.87
19,Vaini,40,IN,1545357600,87,15.34,74.49,60.8,3.8
20,Khatanga,56,RU,1545361152,67,71.98,102.47,-14.7,5.37
21,Guerrero Negro,8,MX,1545361610,66,27.97,-114.04,59.65,4.54
22,Walvis Bay,92,NA,1545357600,82,-22.95,14.51,62.6,5.82
23,Mecca,0,SA,1545361610,83,21.43,39.83,59.2,3.98
24,Koutsouras,0,GR,1545361611,100,35.03,25.95,56.09,4.03
25,Ziro,24,IN,1545361611,83,27.54,93.82,51.1,2.01
26,Hilo,90,US,1545357180,70,19.71,-155.08,75.02,9.17
27,Beyneu,12,KZ,1545361611,77,45.32,55.19,11.9,11.86
28,Katsuura,20,JP,1545357600,76,33.93,134.5,54.41,3.36
29,Souillac,90,FR,1545359400,87,45.6,-0.6,51.8,17.22
30,Butaritari,48,KI,1545361152,100,3.07,172.79,82.1,8.84
31,Punta Arenas,0,CL,1545357600,66,-53.16,-70.91,50.0,16.11
32,Hermanus,20,ZA,1545361612,94,-34.42,19.24,54.29,4.09
33,Albany,90,US,1545360720,92,42.65,-73.75,37.13,18.34
34,Jamestown,0,AU,1545361095,39,-33.21,138.6,71.89,14.27
35,Kloulklubed,75,PW,1545360600,79,7.04,134.26,84.2,10.29
36,Hamilton,75,BM,1545357300,68,32.3,-64.78,66.2,11.41
37,Mehamn,0,NO,1545361612,100,71.03,27.85,6.14,4.54
38,Avarua,75,CK,1545357600,83,-21.21,-159.78,82.4,8.05
39,Nioro,8,GM,1545361612,40,13.79,-15.05,71.08,10.13
40,Busselton,0,AU,1545361613,71,-33.64,115.35,76.84,11.59
41,Collie,0,AU,1545361613,32,-33.36,116.15,81.25,14.27
42,Pilane,0,BW,1545357600,60,-24.41,26.09,75.2,12.75
43,Baykit,32,RU,1545361613,31,61.68,96.39,-22.17,7.83
44,Port Lincoln,12,AU,1545361613,88,-34.72,135.86,63.61,14.05
45,Vila Velha,75,BR,1545357600,83,-3.71,-38.6,80.6,11.41
46,New Norfolk,75,AU,1545359400,71,-42.78,147.06,57.2,13.87
47,Husavik,12,CA,1545361667,61,50.56,-96.99,0.92,2.98
48,Tuatapere,88,NZ,1545361216,100,-46.13,167.69,53.75,7.27
49,Kalat,0,PK,1545361667,43,29.03,66.58,12.76,2.35
50,Rikitea,8,PF,1545360585,100,-23.12,-134.97,77.6,12.64
51,Lavrentiya,76,RU,1545361244,100,65.58,-170.99,2.05,20.92
52,Cherskiy,12,RU,1545361668,0,68.75,161.3,-40.75,3.47
53,Kommunisticheskiy,68,RU,1545361669,70,61.68,64.48,13.57,9.28
54,Jieshi,20,CN,1545361669,80,22.82,115.83,72.2,10.13
55,Mlowo,88,TZ,1545361669,100,-9.01,33.0,61.94,2.75
56,Novo Aripuana,76,BR,1545361669,93,-5.12,-60.38,76.75,1.52
57,Kodiak,1,US,1545358500,77,39.95,-94.76,34.03,9.17
58,Eugene,75,US,1545360960,88,44.05,-123.1,44.58,6.93
59,Kaitangata,88,NZ,1545361153,94,-46.28,169.85,55.37,7.11
60,Mataura,92,NZ,1545361221,78,-46.19,168.86,56.32,9.24
61,Kieta,36,PG,1545361670,98,-6.22,155.63,83.0,4.59
62,Howard Springs,75,AU,1545359400,66,-12.5,131.05,89.6,12.75
63,Gazojak,8,TM,1545361670,94,41.19,61.4,18.7,12.3
64,Winnemucca,1,US,1545357360,81,40.97,-117.74,33.08,5.48
65,Yanam,0,IN,1545359400,88,16.73,82.22,71.6,5.82
66,Chokurdakh,76,RU,1545361671,38,70.62,147.9,-24.91,9.13
67,Port Alfred,12,ZA,1545361092,90,-33.59,26.89,69.1,16.28
68,Fort Nelson,90,CA,1545357600,77,58.81,-122.69,-0.41,2.24
69,Mlimba,92,TZ,1545361671,100,-8.78,35.81,69.64,1.57
70,Coihaique,0,CL,1545357600,58,-45.58,-72.07,56.17,3.36
